Produk,Review,Rating
Frame kacamata cat eye wanita (4 Variansi Lensa),Ga enakin bgt dipake nya biasa kalo beli kacamata ditoko lain minus 3 .25 selalu enakin dipakenya. Ini pusing bgt dipakenya parah kacamata nya jg bener² ga enakin dan gak nyaman dipakenya,3
Frame kacamata cat eye wanita (4 Variansi Lensa),Barang lumayan Bagus ya . cuman pengemasan 3hari. Paket diperjalanan 4hari. Total hampir seminggu. Seperti belanja d luar negri,3
Frame kacamata cat eye wanita (4 Variansi Lensa),Sayangnya frame sebelah kanan sudah lecet2 dan dipakainya merosot trus kurang kencang atau kurang megang,3
Frame kacamata cat eye wanita (4 Variansi Lensa),Bahan bagus pengiriman cepat . dapet wadah lap sama air pembersih kacamata,3
Frame kacamata cat eye wanita (4 Variansi Lensa),Baru seminggu dipake udah patah aja huhuhu,2
Frame kacamata cat eye wanita (4 Variansi Lensa),kacamatanya bagus . tp lensanya bikin pusing. ditanyain ke seller katanya adaptasi saja. kayanya minus lensanya kurang. padahal saya beli 2 kacamata di waktu yg sama namun tempat lain . dan di kacamata yg lainnya tak ada masalah dengan lensa minusnya.,2
Frame kacamata cat eye wanita (4 Variansi Lensa),Barang yg di pesan lengkap . sesuai dengan pesanan juga. Pengemasan & pengirimannnya lumayan. Tdk ada yg kurang maupun lebih. Terimakasih seller . belum di coba dibawah matahari dan layar laptop.,4
Frame kacamata cat eye wanita (4 Variansi Lensa),kacamatanya bagus banget . pengiriman juga cepet cuma ada minus dibagian telinganya agak patah sedikit jadi copot terus . overall bagus kok cuma diperhatiin lagi ya min :'),4
Frame kacamata cat eye wanita (4 Variansi Lensa),Pemasangan lensa tidak rapi tidak nyaman di gunakan frame ringkih ..nyesel sii,1
Frame kacamata cat eye wanita (4 Variansi Lensa),Bagus banget kacamatanya simple tapi elegan pas udh dipake jadi bagus banget suka banget,5
Frame kacamata Lentur(Paket frame+lensa),Barang sesuai yang di foto . Modelnya bagus . tapi sayang Pas di pakai Longgar Banget jadi kurang nyaman dipakai . nunduk aja bisa aja jatuh . Gagangnya juga gampang terkelupas . soalnya sudah ada goresan. Next nya lebih diperhatiin.,3
Frame kacamata Lentur(Paket frame+lensa),pengiriman supeeeeeerrŕr lamaaa....kapok dah,3
Frame kacamata Lentur(Paket frame+lensa),Ada baret dilensa nya,3
Frame kacamata Lentur(Paket frame+lensa),Tangkai nya menurut saya kurang kokoh . trs pas pemotongang kaca sedikit sekali kurang rapi . . . . tapi kalo di nilai keseluruhan ya 80 lah... puas dengan barang nya . . . . cuma pengiriman nya menurut saya lama . mungkin karna gratis ongkir jadi lama,3
Frame kacamata Lentur(Paket frame+lensa),kaca mata depan nya gak pas ada yang terlalu maju kali ada yang bengkok  . habis itu gagang kaca mata gak simetris jadi kelihatan mireng kalo di pake..,2
Frame kacamata Lentur(Paket frame+lensa),agak kurang pas waktu dipake,2
Frame kacamata Lentur(Paket frame+lensa),cepet sampainya karna sama2 di priok tp sayang kacamatanya miring jd di pakai tidak nyaman hrs ke optik lg minta tolong benerin selebihnya good,4
Frame kacamata Lentur(Paket frame+lensa),Penjualnya cepat respon terimakasih barangnya bagus,4
Frame kacamata Lentur(Paket frame+lensa),Kekecilan bgt,1
Frame kacamata Lentur(Paket frame+lensa),Mantap dapat lap dan cairan pembersihnya . untuk photocromicnya belum dicoba,5
Frame kacamata wanita (Paket frame+lensa),Frame nya bagus. Sayangnya agak miring waktu dipake.,3
Frame kacamata wanita (Paket frame+lensa),kurang rapih lem antara frame sama kacanya terus kacanya juga ada yang gompal,3
Frame kacamata wanita (Paket frame+lensa),Suka si tp berat bgt. Dan blm lama pake pdhal gak jatoh gak apa eh Retak bagian frame nya. Pengirimannya lama bgt. Sampe emosi. Dr pihak penjual dan pihak expedisi juga lama. Pdhal pake yg nextday bayar 18rb . Gak pake yg gratis ongkiran.,3
Frame kacamata wanita (Paket frame+lensa),Berat kalu di pake . sama ternyata frame kacamata ada goldnya . saya kira bener2 bening,3
Frame kacamata wanita (Paket frame+lensa),Kacamatanya bagus . lensa juga photocromic. Tapi minus yang saya pesan dan yang datang beda . dipakai pun ga keliatan sama sekali. setelah saya bawa ke optik dan di cek ternyata beneran bukan minus 4. ,2
Frame kacamata wanita (Paket frame+lensa),bagus . tapi ada karat dibagian yg di foto . pengiriman lama bgt . warna yg dikirim dengan yg dipesan beda . di gambar abu2 muda di kirim abu2 tua,2
Frame kacamata wanita (Paket frame+lensa),kacamatanya enteng . tapi ini ga terlihat murahan . kacamatanya pas dimuka aku . framenya terbuat dari plastik termasuk gagangnya . nosepadnya agak kendor tapi masih bisa dipakai dan gagangnya sedikit ga seimbang tpi saat dipakai masih nyaman,4
Frame kacamata wanita (Paket frame+lensa),Aga lama yaa . 6hari baru sampe. Bagus sih over all buat harga segitu . masih adaptasi jd aga mual pakenya hehe sukses trus ka,4
Frame kacamata wanita (Paket frame+lensa),sorry banget tadinya ngga mau kasih bintang 1 tapi karena sudah ajukan keluhan bahwa kacamata frame patah sebelah jadinya miring dan sudah kirim unboxing di wa tidak ada respon jadi terpaksa,1
Frame kacamata wanita (Paket frame+lensa),sesuai banget sama ekspetasi aku . kacamatanya benar-benar bagus . cantik elegan dan mewah juga. Pokoknya suka banget deh . pengirimannya juga cepat banget hanya satu hari.,5
Frame kacamata fashion ,Kacamatanya bagus sih sukaaa . cuma air nya tumpah. Kacamata nya tempat nya juga basah . Dateng² bubble wrap nya basah juga bau air kacamata nya. Tolong kalo emang airnya kondisi tempatnya rusak ya di ganti ya kaa jangan di paksain di lakban gitu jadi basah semua ini  overall yg lain aman sih cuma karna airnya tumpah aja jadi bau kemana mana dan basah,3
Frame kacamata fashion ,maaf ya . aq pesen 6 semua warna .. yg dtg pink nya 2 ... lain x lebih hati hati yahhh.. dn kacamatanya bagus ko . sesuai dg lensa ku . gk ada yg knp knp eih.. kecewanya cm sama warna ... makasihh,3
Frame kacamata fashion ,bagus sebenernya tp warna dari kacamatanya ngestain di wajah dan juga di lap… udh terus aku semprot tp warnanya ttp luntur dan stain..,3
Frame kacamata fashion ,Masa gada photocromic nyaa padahal udh outdoor seharian,3
Frame kacamata fashion ,Kecewa . minus beda sebelah.. respon admin lama sekali..,2
Frame kacamata fashion ,Maksud hati komplain dulu di chat biar gak usah rating bintang satu. Sampe bulak balik 2x ke optik buat ngecek + videoin bukti kalo request-an lensa gak sesuai dan ada silinder.,2
Frame kacamata fashion ,Sumpah kaget banget dg barangnya yg begitu cuantiik nan bagus syekaleee frame'nya tebel. . .pokok intinya kagak kaleng² loh puas sekali loh aku,4
Frame kacamata fashion ,Pesanannya sesuai dengan foto produknya hanya ps pake lensa ga bisa dipakai jalan hanya bisa baca kl jalan pusing,4
Frame kacamata fashion ,Beli yg potocromic dikirim yg biasa . warna kaca tidak berubah ketika kena sinar matahari . pengiriman lama.,1
Frame kacamata fashion ,Bagus banget . proses pengerjaan cepat sekali . pengiriman cepat . respons penjual baik sekali... Highly recomend pokoknyaa... In shaa Allah gak bakal nyesel pesen dsni,5
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Kacamata ini tdk dikirim .tapi uangq tdk dikembalikan. ini aq mau pesan lagi bragk ditoko ini.tpi gmn solusinya ini mba,3
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Sebenarnya kacamata nya bagus tapi sayangnya gagangnya patah tapi gpp tidak usah return,3
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,aduh maap ya sebenarnya kacamatanya bagus untuk harga segitu cuman yang sangat disayangkan kenapa bau kacamata nya  . sampe aku cuci masih ttp bau  . baunya seperti (pup bayi ) kalo menurut aku  . ada yang sama gasih kaya aku ? kaya kecewa aja sama baunya,3
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Buat harga segini cukup  . karna ga dapet tempat kacamata Dan kacamata pas dipake ada bau lem yg kecium . tp mudah2an lama lama ilang,3
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Baru datang saya buka kacamata patah gak ada kardusnya jadi mudah patah,2
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Tdnya g mau ksh bintang 2. Tp krn adminya lelet ga cekatan dlm proses keluhan ya yasyudahlah,2
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Paket sudah datang pengiriman cepat  .barang y ok  .bagus harga terjangkau murah,4
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Gak dapet koin . percuma penilaian,4
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Ga bagussssss bangettt kacamatanya miring .trus ada bolongnya lagii  .ga sesuai realita zonk,1
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Sesuai ekpetasi.. Liat testimoni bagus semua.. Nyata nya beneran bagus dgn hrga 11rb an aja.. Ga terlihat murah.. Wahh suka.. Packing nya juga aman,5
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Bagus banget sebenarnya tapi sayang kacanya retak pecah .,3
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Barangnya salah kirim yg sampai beda dengan yg dipoto untung yg datang lumayan bagus juga jadi ya sudahlah,3
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Bungkusnya gak bagus banget...dipake plastik doang... pengiriman nya lama...nyesel,3
Kacamata Korea Fashion Sunglasses KM128 Kacamata Hitam Import Unisex Wanita/Pria,Pas dateng bagian kanan kacamata retak dan bengkok gitu tp masih bisa dibenerin sih:( but overall baguss kokk!,3
